Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Location Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Sellable,Purchasable,Track Inventory,Product Name,Item Description,AttributeName1,AttributeType1,AttributeName2,AttributeType2,AttributeName3,AttributeType3,AttributeOption1,AttributeOptionData1,AttributeOption2,AttributeOptionData2,AttributeOption3,AttributeOptionData3,Category Name,Parent Category,CUSTOMER TYPE
4516918000005584454,2024-08-23 13:40:30,2026-05-08 19:17:20,SPANNER-3,Open End Spanner 21X23MM 1x100,IQD 6000,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59185,6294015517323,,,GT59185,IQD 3319.802262,Cost of Goods Sold,Open End Spanner 21X23MM 1x100,Inventory Asset,fifo,,Western International LLC,,,,33,false,Inventory,true,true,true,SPANNER-3,Open End Spanner 21X23MM 1x100,,,,,,,,,,,,,Active,ELC,
4516918000005584467,2024-08-23 13:40:30,2026-07-22 09:20:54,SPANNER-4,Open End Spanner 20X22MM 1x100,IQD 4750,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59184,6294015517316,,,GT59184,IQD 2621.412567,Cost of Goods Sold,Open End Spanner 20X22MM 1x100,Inventory Asset,fifo,,Western International LLC,,,,45,false,Inventory,true,true,true,SPANNER-4,Open End Spanner 20X22MM 1x100,,,,,,,,,,,,,Active,ELC,
4516918000005584480,2024-08-23 13:40:31,2026-06-06 09:27:15,SPANNER-5,Combination Spanner 16MM 1x100,IQD 4000,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59161,6294015517088,,,GT59161,IQD 2129.771488,Cost of Goods Sold,Combination Spanner 16MM 1x100,Inventory Asset,fifo,,Western International LLC,,,,34,false,Inventory,true,true,true,SPANNER-5,Combination Spanner 16MM 1x100,,,,,,,,,,,,,Active,ELC,
4516918000005584493,2024-08-23 13:40:31,2026-07-13 11:01:59,SPANNER-6,Combination Spanner 15MM 1x100,IQD 3500,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59160,6294015517071,,,GT59160,IQD 1914.067344,Cost of Goods Sold,Combination Spanner 15MM 1x100,Inventory Asset,fifo,,Western International LLC,,,,115,false,Inventory,true,true,true,SPANNER-6,Combination Spanner 15MM 1x100,,,,,,,,,,,,,Active,ELC,
4516918000005584506,2024-08-23 13:40:31,2026-08-10 08:54:31,SPANNER-7,Combination Spanner 12MM 1x250,IQD 2750,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59157,6294015517040,,,GT59157,IQD 1521.708546,Cost of Goods Sold,Combination Spanner 12MM 1x250,Inventory Asset,fifo,,Western International LLC,,,,85,false,Inventory,true,true,true,SPANNER-7,Combination Spanner 12MM 1x250,,,,,,,,,,,,,Active,ELC,
4516918000005584519,2024-08-23 13:40:31,2026-08-01 13:21:54,SPANNER-8,Combination Spanner 10MM 1x250,IQD 2500,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59155,6294015517026,,,GT59155,IQD 1375.239881,Cost of Goods Sold,Combination Spanner 10MM 1x250,Inventory Asset,fifo,,Western International LLC,,,,178,false,Inventory,true,true,true,SPANNER-8,Combination Spanner 10MM 1x250,,,,,,,,,,,,,Active,ELC,
4516918000005584532,2024-08-23 13:40:31,2026-08-10 08:54:31,SPANNER-9,Combination Spanner 6MM 1x250,IQD 2500,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59151,6294015516982,,,GT59151,IQD 1323.375196,Cost of Goods Sold,Combination Spanner 6MM 1x250,Inventory Asset,fifo,,Western International LLC,,,,43,false,Inventory,true,true,true,SPANNER-9,Combination Spanner 6MM 1x250,,,,,,,,,,,,,Active,ELC,
4516918000005584545,2024-08-23 13:40:31,2026-08-09 15:15:18,WRENCH-1,"Adjustable Wrench 12"" 1X24",IQD 11750,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59225,6294015519907,,,GT59225,IQD 6753.241749,Cost of Goods Sold,"Adjustable Wrench 12"" 1X24",Inventory Asset,fifo,,Western International LLC,,,,80,false,Inventory,true,true,true,WRENCH-1,"Adjustable Wrench 12"" 1X24",,,,,,,,,,,,,Active,ELC,
4516918000005584558,2024-08-23 13:40:31,2026-08-10 08:54:31,SCREW DRIVER-1,Screw Driver 1X60,IQD 2250,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT7640,6294015502633,,,GT7640,IQD 1222.533482,Cost of Goods Sold,Screw Driver 1X60,Inventory Asset,fifo,,Western International LLC,,,,16,false,Inventory,true,true,true,SCREW DRIVER-1,Screw Driver 1X60,,,,,,,,,,,,,Active,ELC,
4516918000005584571,2024-08-23 13:40:31,2026-08-10 08:54:31,SCREW DRIVER-2,Screwdriver SL 4X125MM 1X240,IQD 2000,Sales,true,GEEPAS TOOLZ,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GT59086,6294015515770,,,GT59086,IQD 979.728793,Cost of Goods Sold,Screwdriver SL 4X125MM 1X240,Inventory Asset,fifo,,Western International LLC,,,,34,false,Inventory,true,true,true,SCREW DRIVER-2,Screwdriver SL 4X125MM 1X240,,,,,,,,,,,,,Active,ELC,
